9,407,540
3,320,276
2,964,820
2,365,619
1,446,749
1,432,049
1,190,368
1,111,371
1,075,570
1,075,202
1,022,641
920,362
907,958
849,388
791,263
737,366
657,821
652,458
643,044
565,392
542,713
514,876
506,494
489,202
475,396
453,961
451,876
437,789
419,761
373,274
351,168
350,252
347,489
342,328
328,253
314,238
298,928
283,742
282,626
275,989
273,649
273,587
271,741
266,809
262,264
257,847
233,948
219,877
218,798
215,914
212,631
212,274
198,832
189,741
171,364
169,358
168,508
165,704
161,239
151,852
144,010
140,765
136,929
132,962
123,774
121,778
111,655
111,476
111,017
109,359
109,263
108,443
105,579
104,509
103,894
103,048
100,922
98,528
98,189
97,675
97,373
89,151
82,358
81,420
79,282
79,186
78,678
78,618
70,016
67,906
67,860
67,168
67,123
67,028
62,544
61,170
60,984
60,566
60,083
59,548
57,679
55,672
54,947
53,853
53,321
52,439
51,249
50,082
49,898
49,670
49,034
48,504
48,332
46,321
44,770
44,733
43,990
43,781
43,449
43,441
43,211
42,986
41,858
41,663
41,278
41,225
40,264
39,942
38,579
37,942
37,625
36,934
36,275
36,148
36,002
35,592
34,033
33,637
33,094
32,253
31,299
31,082
30,948
30,524
29,432
28,768
28,621
28,411
27,017
26,409
26,292
25,556
24,625
24,441
24,420
23,195
22,998
22,355
21,395
16,579
6,210
